number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
1,TWK,"Indonesia menghadapi gugatan di Organisasi Perdagangan Dunia (WTO) karena kebijakan larangan ekspor bijih nikel mentah. Negara-negara maju berdalih kebijakan ini melanggar asas perdagangan bebas. Dari perspektif nasionalisme ekonomi dan tafsir konstitusi Pasal 33 UUD 1945, argumentasi diplomasi tertinggi yang harus dipertahankan oleh delegasi Indonesia adalah...",Membatalkan kebijakan tersebut karena Indonesia wajib tunduk pada konsensus hukum internasional yang telah diratifikasi,Mempertahankan kebijakan dengan dalih bahwa nikel adalah milik negara bagian yang tidak boleh diintervensi oleh pemerintah pusat,"Menegaskan hak berdaulat negara untuk melakukan hilirisasi industri demi memberikan nilai tambah dan sebesar-besar kemakmuran rakyat, bukan sekadar menjadi pengekspor bahan mentah",Mengancam akan keluar dari keanggotaan WTO dan membentuk blok perdagangan baru bersama negara-negara berkembang lainnya,Menerapkan pajak ekspor yang sangat tinggi sebagai jalan tengah agar negara maju tetap bisa membeli bahan mentah,0,0,5,0,0,"Nasionalisme Ekonomi & Konstitusi. Larangan ekspor barang mentah adalah wujud kedaulatan negara atas SDA (Pasal 33 ayat 3) untuk menciptakan nilai tambah di dalam negeri (hilirisasi). Mundur dari WTO (D) adalah reaktif, sedangkan hilirisasi adalah hak berdaulat yang diakui dalam prinsip pembangunan berkelanjutan.",Nasionalisme
2,TWK,"Konsep desentralisasi asimetris di Indonesia memberikan Otonomi Khusus (Otsus) bagi daerah tertentu seperti Papua, Aceh, dan DIY. Beberapa pakar hukum mengkritik bahwa hak istimewa ini menciderai prinsip kesetaraan dalam Negara Kesatuan Republik Indonesia (NKRI). Sanggahan filosofis yang paling tepat untuk membenarkan kebijakan Otsus dalam bingkai NKRI adalah...",Otsus adalah langkah transisi sementara sebelum daerah tersebut diberikan kemerdekaan penuh sesuai prinsip penentuan nasib sendiri,"Kesetaraan dalam NKRI bukanlah penyeragaman kaku (uniformitas), melainkan pengakuan, penghormatan, dan afirmasi terhadap realitas historis serta sosiokultural daerah demi integrasi nasional",Pemerintah pusat sudah tidak memiliki anggaran untuk mengurus daerah-daerah tersebut sehingga menyerahkan kewenangannya secara penuh,Otsus diberikan karena daerah-daerah tersebut memiliki kekuatan militer yang dapat mengancam stabilitas ibu kota jika tuntutannya tidak dipenuhi,NKRI sebenarnya secara perlahan sedang bertransformasi menjadi negara serikat (federal) secara de facto,0,5,0,0,0,"Pilar Negara (NKRI & Bhinneka Tunggal Ika). NKRI tidak berarti uniformitas (keseragaman mutlak). Sesuai Pasal 18B UUD 1945, negara mengakui dan menghormati satuan pemerintahan daerah yang bersifat 'khusus' atau 'istimewa' sebagai bentuk afirmasi menjaga keutuhan integrasi nasional.",Pilar Negara
3,TWK,"Di era digital, terjadi fenomena 'Balkanisasi Siber' di mana masyarakat hanya mengkonsumsi informasi yang sesuai dengan pandangan politik mereka (echo chamber). Hal ini memicu polarisasi ekstrem dan hilangnya identitas kebangsaan. Peran strategis aparatur negara dalam merevitalisasi Sumpah Pemuda untuk mengatasi ancaman kognitif ini adalah...",Melakukan pembatasan akses internet secara total menjelang pemilihan umum untuk mencegah kerusuhan,Mempidanakan setiap warga negara yang menyuarakan kritik terhadap pemerintah di media sosial,"Memproduksi kebijakan publik yang transparan, narasi kebangsaan yang inklusif berbasis data, serta literasi digital yang menjembatani dialog antar-kelompok yang terpolarisasi",Mengharuskan seluruh platform media sosial untuk menghapus algoritma personalisasi mereka secara global,Membuat satu platform media sosial tunggal milik negara dan melarang penggunaan platform buatan asing,0,0,5,0,0,"Bela Negara (Ancaman Kognitif). Polarisasi digital tidak bisa diselesaikan dengan represi otoriter (A, B, D, E) karena melanggar HAM. Solusi demokratis-nasionalis adalah penetrasi dengan literasi digital, keterbukaan informasi (data), dan memfasilitasi ruang dialog inklusif.",Bela Negara
4,TWK,"Sistem 'Revolving Door' (pintu putar) adalah fenomena di mana seorang mantan pejabat tinggi negara langsung dipekerjakan oleh perusahaan multinasional swasta sesaat setelah ia pensiun, untuk menggunakan pengaruhnya. Secara etika birokrasi dan integritas berbangsa, praktik ini sangat berbahaya karena...",Mantan pejabat tersebut akan kehilangan uang pensiunnya dari negara secara otomatis,"Menciptakan benturan kepentingan (conflict of interest) di masa lalu, di mana kebijakan yang dibuatnya saat menjabat berpotensi sengaja menguntungkan perusahaan yang kelak mempekerjakannya",Perusahaan multinasional tersebut akan mengalami kerugian karena menggaji mantan pejabat yang sudah tidak memiliki wewenang eksekutif,Melanggar hak asasi mantan pejabat untuk mendapatkan pekerjaan di sektor swasta,Membuat pejabat lain merasa iri dan menuntut fasilitas yang sama kepada pemerintah,0,5,0,0,0,"Integritas (Conflict of Interest). Praktik 'revolving door' sangat rentan terhadap suap tertunda (*deferred bribe*). Pejabat bisa saja membuat kebijakan yang menguntungkan korporasi saat menjabat, dengan imbalan posisi strategis di korporasi tersebut setelah ia pensiun (post-employment conflict).",Integritas
5,TWK,"Mahkamah Konstitusi (MK) memiliki wewenang menguji undang-undang terhadap UUD 1945 (Judicial Review). Namun, MK sering kali memberikan putusan 'konstitusional bersyarat' (conditionally constitutional). Dari perspektif pemisahan kekuasaan (Separation of Power), putusan jenis ini sering dikritik oleh DPR karena...",MK dianggap telah bertindak sebagai 'Positive Legislator' (pembuat norma baru) yang seharusnya merupakan wewenang absolut DPR dan Presiden,MK mengurangi hak Presiden untuk memveto undang-undang yang sedang berlaku,Putusan tersebut membuat undang-undang menjadi batal demi hukum secara seketika dan menimbulkan kekosongan hukum,DPR kehilangan haknya untuk mengajukan rancangan undang-undang baru di masa depan,MK mengambil alih wewenang Mahkamah Agung dalam mengadili sengketa kasasi,5,0,0,0,0,"Pilar Negara (Konstitusi). Putusan konstitusional bersyarat berarti pasal tersebut tetap sah *asalkan* ditafsirkan sesuai bunyi putusan MK. DPR sering mengkritik ini karena MK dianggap menyisipkan norma baru (*positive legislator*), padahal tugas MK murni sebagai *negative legislator* (membatalkan norma).",Pilar Negara
6,TWK,Pancasila berkedudukan sebagai *Staatsfundamentalnorm* (Norma Dasar Negara). Implikasi hukum tata negara yang paling fundamental jika sebuah Ketetapan MPR (TAP MPR) secara substansial bertentangan dengan esensi kemanusiaan dalam Pancasila adalah...,TAP MPR tersebut secara otomatis batal tanpa perlu diuji oleh lembaga mana pun karena kedudukannya lebih rendah,Hanya Presiden yang berhak mencabut TAP MPR tersebut melalui Dekrit Presiden,"TAP MPR tersebut tidak sah secara filosofis dan materiil, namun pembatalan resminya tetap membutuhkan proses legislatif (MPR) karena ketiadaan kewenangan MK untuk menguji TAP MPR saat ini",Mahkamah Agung akan segera mengeluarkan putusan kasasi untuk membatalkan TAP MPR tersebut,Masyarakat berhak melakukan makar untuk menolak TAP MPR yang cacat secara filosofis tersebut,0,0,5,0,0,"Pilar Negara (Hukum Tata Negara). Meskipun bertentangan dengan *Staatsfundamentalnorm*, sistem hukum Indonesia saat ini (UU $12/2011$) menetapkan TAP MPR berada di atas UU. MK hanya bisa menguji UU terhadap UUD. Maka, secara legal-formal, pembatalan/perubahan TAP MPR hanya bisa dilakukan oleh MPR itu sendiri (*Legislative Review*).",Pilar Negara
7,TWK,"Seorang menteri Kabinet menginstruksikan aparatur pengawasan internal (Inspektorat Jenderal) untuk tidak melakukan audit mendalam terhadap sebuah proyek strategis yang sedang disorot media, dengan alasan 'menjaga kondusivitas politik menjelang pemilu'. Dilema integritas aparatur pengawasan dalam situasi ini harus diselesaikan dengan...",Menuruti perintah menteri karena menteri adalah pejabat pembina kepegawaian tertinggi di kementerian tersebut,Membuat audit palsu yang seolah-olah menyatakan proyek tersebut bersih dari korupsi,"Melaksanakan audit objektif sesuai Standar Audit Intern Pemerintah Indonesia (SAIPI), melaporkan kebenaran secara berjenjang, dan mengeskalasikan temuan ke KPK atau BPK jika terjadi *obstruction of justice*",Mengundurkan diri dari jabatan auditor sebagai bentuk protes damai tanpa perlu membuat laporan temuan,Membocorkan dokumen proyek tersebut ke pihak oposisi politik agar menteri tersebut mendapat tekanan,0,0,5,0,0,Integritas (Independensi Auditor). Auditor internal (APIP) disumpah untuk menjaga independensi. Instruksi politik yang menghalangi audit adalah *Obstruction of Justice*. Menjalankan SAIPI secara objektif dan mengeskalasikannya ke eksternal (BPK/KPK) adalah langkah integritas paripurna.,Integritas
8,TWK,"Dalam teori pertahanan modern, serangan 'Ransomware' yang menyasar Pusat Data Nasional (PDN) mengkategorikan data kependudukan, imigrasi, dan intelijen sebagai 'sandera digital'. Jika penyerang meminta tebusan menggunakan *cryptocurrency*, doktrin Bela Negara dan Ketahanan Siber Nasional mewajibkan pemerintah untuk...",Membayar tebusan tersebut dengan segera demi menyelamatkan kerahasiaan data warga negara,Melakukan negosiasi rahasia dan meminta bantuan *hacker* swasta untuk meretas balik pelaku tanpa jalur hukum,"Menolak membayar tebusan (no-ransom policy) untuk mencegah pendanaan terorisme siber, mengkarantina infrastruktur yang terinfeksi, melakukan forensik digital, serta mempercepat pemulihan dari data cadangan (backup) yang terenkripsi terpisah",Memutuskan jaringan internet nasional secara total agar virus tidak menyebar ke sektor perbankan,Menyerahkan kedaulatan siber nasional kepada perusahaan teknologi asing untuk dikelola sepenuhnya,0,0,5,0,0,"Bela Negara (Ketahanan Siber). Membayar tebusan (*ransom*) kepada *threat actor* tidak menjamin data dikembalikan dan justru mendanai sindikat kriminal/terorisme. *No-ransom policy* adalah standar ketahanan negara, mengandalkan mitigasi *disaster recovery plan* (backup) dan forensik BSSN.",Bela Negara
9,TWK,"Prinsip kewarganegaraan Indonesia menganut asas *Ius Sanguinis* dan *Ius Soli* terbatas. Muncul wacana penerapan Dwi-Kewarganegaraan bagi diaspora Indonesia yang memiliki keahlian khusus di luar negeri. Namun, wacana ini memiliki resistensi terkait potensi pelanggaran pilar nasionalisme, yaitu...",Diaspora tersebut akan menuntut agar sistem pemerintahan Indonesia diubah menjadi monarki,Masalah loyalitas ganda (conflict of allegiance) jika terjadi perang atau sengketa diplomatik antara Indonesia dan negara kewarganegaraan keduanya,Ketidakmampuan mereka beradaptasi dengan iklim tropis di Indonesia saat pulang,Mereka akan mengambil alih seluruh posisi menteri strategis dalam kabinet pemerintahan,Pemerintah harus membayar gaji mereka menggunakan mata uang asing yang merugikan devisa,0,5,0,0,0,Nasionalisme & Kewarganegaraan. Tantangan utama Dwi-Kewarganegaraan (khususnya bagi pejabat/ahli strategis) adalah *Conflict of Allegiance* (Loyalitas Ganda). Bela negara dan kerahasiaan nasional berpotensi terancam jika terjadi benturan kepentingan antara dua negara yang menaunginya.,Nasionalisme
10,TWK,"Pemerintah menggunakan instrumen 'Peraturan Pemerintah Pengganti Undang-Undang' (Perppu) dalam kondisi pandemi untuk menata ulang kebijakan ekonomi. Berdasarkan tafsir Putusan MK, syarat 'kegentingan yang memaksa' (*hal ihwal kegentingan yang memaksa*) agar Perppu tersebut sah secara konstitusional adalah...",Presiden merasa undang-undang yang ada sudah terlalu tua dan ketinggalan zaman,Adanya desakan dari lembaga donor internasional untuk segera memperbaiki iklim investasi,"Adanya kebutuhan hukum yang mendesak untuk diselesaikan segera, terjadinya kekosongan hukum, dan kekosongan tersebut tidak dapat diatasi melalui prosedur legislasi normal karena butuh waktu lama",DPR sedang dalam masa reses dan tidak bisa diganggu untuk mengadakan sidang paripurna,Tingkat kepercayaan publik terhadap DPR sedang sangat rendah berdasarkan survei nasional,0,0,5,0,0,"Pilar Negara (UUD 1945). Putusan MK No. 138/PUU-VII/2009 menetapkan 3 syarat mutlak Perppu: 1) Kebutuhan mendesak penyelesaian hukum, 2) Kekosongan hukum/UU tidak memadai, 3) Tidak bisa menunggu prosedur legislasi normal (DPR) karena memakan waktu lama.",Pilar Negara
