number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
1,TWK,"Sebuah konsorsium asing menawarkan investasi raksasa untuk mengeksploitasi mineral kritis di daerah tertinggal. Proyek ini diproyeksikan menghapus kemiskinan ekstrem di daerah tersebut dalam 5 tahun. Namun, kontraknya mewajibkan seluruh manajemen inti dipegang ekspatriat dan tidak ada kewajiban transfer teknologi. Dari perspektif nasionalisme ekonomi dan Sila Kelima Pancasila, keputusan strategis negara seharusnya...",Menerima investasi tersebut tanpa syarat demi mengentaskan kemiskinan ekstrem yang merupakan prioritas kemanusiaan,Menolak mentah-mentah investasi tersebut untuk menjaga kedaulatan sumber daya alam murni bagi anak bangsa,Menerima investasi dengan merevisi kontrak secara bilateral untuk memasukkan klausul divestasi saham bertahap dan kewajiban transfer teknologi agar tercipta kemandirian industri jangka panjang,Melakukan nasionalisasi paksa terhadap aset konsorsium asing tersebut begitu pabrik selesai dibangun,Mengizinkan eksploitasi asalkan perusahaan asing tersebut membayar pajak dua kali lipat lebih besar dari perusahaan lokal,0,0,5,0,0,"Nasionalisme di era global harus pragmatis namun berdaulat. Menolak total (B) akan mematikan potensi daerah, menerima buta (A) berpotensi penjajahan ekonomi neo-kolonialisme. Solusi terbaik adalah negosiasi investasi yang mewajibkan transfer teknologi dan divestasi demi kemandirian jangka panjang.",Nasionalisme
2,TWK,"Seorang diplomat Indonesia ditugaskan di negara yang sedang mengalami krisis kemanusiaan akibat perang sipil. Banyak warga negara tersebut yang meminta suaka ke kedutaan Indonesia. Berdasarkan implementasi Sila Kedua dan prinsip politik luar negeri Bebas Aktif, langkah diplomasi yang paling tepat adalah...",Menerima seluruh pencari suaka ke dalam kedutaan dan memberikan paspor Indonesia secara massal,Menutup rapat pintu kedutaan karena urusan domestik negara lain bukan menjadi tanggung jawab Indonesia,"Memberikan perlindungan darurat bagi kelompok rentan di area netral kedutaan, seraya memfasilitasi dialog damai antar faksi yang bertikai dan berkoordinasi dengan UNHCR",Memberikan bantuan persenjataan kepada faksi pemerintah yang sah agar pemberontakan segera ditumpas,Menyelundupkan para pencari suaka ke luar negara tersebut menggunakan pesawat diplomatik,0,0,5,0,0,"Sila Ke-2 menuntut aksi kemanusiaan universal, namun politik Bebas Aktif melarang intervensi militer/politik domestik negara lain. Tindakan proporsional adalah diplomasi kemanusiaan (bantuan darurat & UNHCR) serta menjadi fasilitator perdamaian tanpa memihak faksi mana pun.",Nasionalisme
3,TWK,Pemerintah daerah di sebuah provinsi kepulauan membatasi rekrutmen ASN hanya untuk putra daerah asli (dilihat dari garis keturunan). Mereka berdalih bahwa hanya putra daerah yang memahami sosiokultur masyarakat kepulauan tersebut. Kebijakan ini bertentangan dengan esensi Nasionalisme dan Bhinneka Tunggal Ika karena...,Menurunkan daya saing daerah tersebut di tingkat internasional,"Mencederai hak konstitusional setiap warga negara (inklusivitas) untuk berpartisipasi dalam pemerintahan tanpa diskriminasi ras, suku, atau asal-usul",Provinsi lain akan melakukan tindakan balasan dengan mengusir putra daerah tersebut dari wilayah mereka,Masyarakat kepulauan belum tentu memiliki tingkat pendidikan yang memenuhi syarat standar birokrasi nasional,Akan mengurangi jumlah alokasi dana transfer daerah dari pemerintah pusat,0,5,0,0,0,"Primordialisme/Etnosentrisme struktural. Birokrasi negara adalah alat pemersatu bangsa, bukan milik suku tertentu. Kebijakan diskriminatif berdasarkan ras/keturunan melanggar UUD 1945 (Hak warga negara) dan mengancam integrasi nasional (Bhinneka Tunggal Ika).",Nasionalisme
4,TWK,"Di era digital, banyak masyarakat adat di wilayah adat terpencil yang menolak masuknya aliran listrik dan internet karena dianggap merusak tradisi sakral warisan leluhur. Di sisi lain, negara memiliki kewajiban mencerdaskan kehidupan bangsa (Pembukaan UUD 1945). Pendekatan pemerintah yang menjunjung tinggi nasionalisme kultural adalah...",Memaksa masuknya infrastruktur dengan pengawalan militer demi kemajuan pendidikan anak-anak di sana,Mengabaikan dan membiarkan masyarakat adat tersebut terisolasi sepenuhnya karena itu adalah pilihan mereka,"Melakukan dialog partisipatif, menghormati zona sakral, dan membangun fasilitas pendidikan/teknologi di zona penyangga (buffer zone) sesuai kesepakatan hukum adat setempat",Mencabut status pengakuan masyarakat adat tersebut agar hukum positif negara dapat ditegakkan secara paksa,Membawa seluruh anak-anak dari masyarakat adat tersebut ke ibu kota untuk disekolahkan tanpa izin orang tuanya,0,0,5,0,0,"Nasionalisme kultural menghargai kearifan lokal (hukum adat). Asimilasi atau pemaksaan (A, D, E) melanggar HAM. Pembiaran (B) melanggar amanat UUD. Solusinya adalah *middle-ground* melalui dialog dan zonasi (buffer zone) yang menginkubasi pendidikan tanpa merusak area sakral.",Nasionalisme
5,TWK,"Sebagai bentuk protes terhadap kebijakan ketenagakerjaan, sebuah serikat pekerja besar melakukan aksi boikot mematikan seluruh infrastruktur pelabuhan nasional selama satu bulan. Aksi ini melumpuhkan ekonomi negara secara fatal. Dari kacamata nasionalisme dan pilar negara, tindakan serikat pekerja ini diklasifikasikan sebagai...",Hak asasi manusia yang dijamin oleh konstitusi dalam menyuarakan pendapat,Ancaman terhadap ketahanan nasional karena menyandera objek vital negara yang berdampak pada hajat hidup orang banyak (Sila ke-5),Bentuk pengawasan (checks and balances) masyarakat sipil terhadap arogansi kekuasaan pemerintah,Revolusi damai yang sah dalam sistem demokrasi yang menganut pasar bebas,Tindakan makar yang bertujuan menggulingkan pemerintahan yang sah,0,5,0,0,0,"Menyampaikan pendapat adalah hak (Sila ke-4), namun melumpuhkan objek vital nasional yang merusak ekonomi dan kelangsungan hajat hidup jutaan rakyat melanggar batas ketertiban umum dan keadilan sosial (Sila ke-5), sehingga menjadi ancaman ketahanan nasional.",Nasionalisme
6,TWK,Sejarah mencatat bahwa perumusan dasar negara di BPUPKI diwarnai perbedaan tajam antara golongan kebangsaan dan golongan Islam terkait 'Piagam Jakarta'. Konsensus akhir berupa penghapusan tujuh kata dalam Piagam Jakarta memberikan pelajaran tertinggi bagi aparatur negara saat ini mengenai...,Kemenangan diplomasi golongan minoritas dalam menekan kelompok mayoritas di ruang sidang,Bahwa agama tidak boleh memiliki peran apa pun dalam perumusan undang-undang dan kebijakan publik di Indonesia,Kerelaan berkoban dan kebijaksanaan (Sila Ke-4) para pendiri bangsa untuk mengesampingkan ego kelompok demi keutuhan integrasi NKRI,Bahwa dasar negara selalu bisa diubah kapan saja menyesuaikan dengan tuntutan politik masyarakat,Ketidakmampuan para pendiri bangsa dalam merumuskan hukum syariat yang berlaku secara universal,0,0,5,0,0,"Penghapusan tujuh kata dalam Piagam Jakarta adalah monumen toleransi dan pengorbanan politik terbesar dari tokoh-tokoh Islam saat itu, demi menjaga wilayah timur Indonesia agar tidak memisahkan diri, yang merupakan perwujudan esensi Persatuan Indonesia.",Nasionalisme
7,TWK,"Sebagai kepala instansi, Anda mengetahui mentor Anda, pejabat senior yang dulu berjasa besar menaikkan karir Anda, memanipulasi dana bantuan sosial untuk kampanye politik kerabatnya. Jika Anda melaporkannya, Anda dianggap pengkhianat dan karir Anda tamat. Sikap integritas yang paling tepat adalah...",Menasihatinya secara pribadi untuk mengembalikan dana tersebut tanpa perlu melapor ke pihak berwajib,Mengingat jasa-jasanya dan menutupi kasus tersebut sebagai bentuk balas budi yang bermoral,Mengumpulkan bukti secara komprehensif dan melaporkan kasus tersebut secara resmi melalui *Whistleblowing System* demi menyelamatkan uang negara,Meminta mutasi ke instansi lain agar terhindar dari konflik batin dan dilema etika,Membocorkan data tersebut ke media massa secara anonim agar publik yang memberikan sanksi sosial,0,0,5,0,0,"Integritas aparatur negara melampaui hutang budi personal (*conflict of loyalty*). Manipulasi dana bansos adalah kejahatan luar biasa (*extraordinary crime*). Menggunakan instrumen resmi (WBS) adalah langkah profesional, legal, dan berintegritas tanpa harus main hakim sendiri (bocor ke media).",Integritas
8,TWK,"Di suatu daerah terpencil, terdapat hukum adat yang mewajibkan warga memberikan 'upeti hasil panen' kepada kepala desa (yang juga seorang ASN) sebagai tanda hormat. Menurut UU Tipikor, hal ini adalah gratifikasi. Sebagai aparat pengawasan internal (APIP) yang baru ditugaskan ke sana, tindakan Anda adalah...",Menghormati hukum adat tersebut karena hukum adat diakui secara konstitusional oleh UUD 1945,Menangkap kepala desa tersebut secara langsung karena terbukti melakukan tindak pidana korupsi secara terang-terangan,"Melakukan kajian sosiologis, berkoordinasi dengan KPK, dan menyusun program edukasi transisi kultural bagi masyarakat adat mengenai batas antara kearifan lokal dan gratifikasi",Meminta masyarakat untuk membagi dua upeti tersebut agar sebagian masuk ke kas negara sebagai Penerimaan Negara Bukan Pajak (PNBP),Mengabaikan hal tersebut karena nilai nominal hasil panen tersebut relatif kecil dan tidak merugikan keuangan negara,0,0,5,0,0,Dilema antara kearifan lokal (hukum adat) dan hukum positif (Tipikor). Pendekatan represif (B) akan memicu konflik sosial yang luas. APIP berintegritas menggunakan pendekatan preventif dan edukatif kultural untuk mengubah paradigma masyarakat secara sistematis berkoordinasi dengan otoritas terkait.,Integritas
9,TWK,Seorang ASN peneliti di kementerian secara tidak sengaja menggunakan sebagian paragraf analisis dari jurnal asing tanpa menyertakan kutipan (plagiarisme ringan) dalam draf awal naskah kebijakan strategis nasional. Rekan setimnya menyadari hal tersebut sebelum naskah disahkan. Tindakan berintegritas dari rekan tersebut adalah...,Diam saja karena itu hanya draf awal dan atasan tidak akan menyadarinya,"Menegur secara langsung, meminta peneliti tersebut menghapus plagiasi atau mencantumkan referensi yang tepat sebelum naskah diserahkan ke pimpinan",Meminta atasan untuk segera memecat peneliti tersebut karena tidak memiliki etika akademik,Membocorkan plagiarisme tersebut ke instansi asal jurnal asing agar peneliti tersebut dituntut secara hukum internasional,"Mengambil alih naskah tersebut, memperbaikinya secara diam-diam, dan mengklaim sebagai karyanya sendiri",0,5,0,0,0,Integritas akademik dalam perumusan kebijakan sangat vital. Koreksi antar-sejawat (*peer-correction*) di tahap draf awal adalah langkah perbaikan internal yang konstruktif dan etis sebelum terjadi cacat pada produk hukum/kebijakan negara.,Integritas
10,TWK,"Anda sedang mengevaluasi proposal perizinan tambang. Pihak perusahaan tambang tidak memberikan suap uang, melainkan mempekerjakan istri Anda sebagai konsultan ahli lingkungan dengan gaji fantastis di perusahaan tersebut. Sikap Anda sebagai pejabat penilai proposal adalah...",Tetap mengevaluasi secara objektif karena istri Anda memang ahli di bidang lingkungan dan tidak ada suap langsung,Menolak proposal tambang tersebut secara sepihak untuk membuktikan bahwa Anda tidak terpengaruh oleh posisi istri Anda,Mendeklarasikan *conflict of interest* (benturan kepentingan) tersebut kepada atasan dan meminta agar tugas evaluasi dialihkan ke pejabat lain yang independen,Meminta istri Anda untuk berhenti bekerja dari perusahaan tersebut dan Anda tetap melanjutkan proses evaluasi,Memberikan izin dengan syarat perusahaan tersebut juga mempekerjakan masyarakat lokal secara masif,0,0,5,0,0,Bentuk gratifikasi dan benturan kepentingan modern sangat halus (seperti fasilitas/pekerjaan untuk keluarga inti). Standar integritas mewajibkan deklarasi *Conflict of Interest* dan pendelegasian wewenang agar keputusan negara tetap independen dan bebas intervensi.,Integritas
