number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
1,TWK,"Di era digital, gempuran produk impor dengan harga sangat murah melalui platform e-commerce asing mengancam eksistensi UMKM lokal. Sikap nasionalisme ekonomi yang paling tepat dan adaptif bagi seorang ASN dalam menyikapi fenomena ini adalah...",Menginisiasi pemblokiran seluruh platform e-commerce asing agar UMKM lokal tidak memiliki pesaing,Membeli produk UMKM lokal meskipun harganya jauh lebih mahal dan kualitasnya sangat rendah sebagai bentuk simpati,"Memberikan edukasi literasi digital, pendampingan manajerial, dan fasilitasi legalitas bagi UMKM agar produknya berdaya saing global",Mewajibkan seluruh masyarakat untuk menghapus aplikasi belanja online asing dari gawai mereka,Mengabaikan fenomena tersebut karena pasar bebas adalah keniscayaan yang tidak bisa dilawan oleh negara,0,0,5,0,0,"Nasionalisme di era global bukan bersikap tertutup (autarki), melainkan memberdayakan potensi lokal (UMKM) agar memiliki daya saing (*competitive advantage*) untuk bertarung di pasar global.",Nasionalisme
2,TWK,"Seorang ASN pusat dipindahtugaskan ke daerah yang memiliki riwayat konflik primordial antara dua suku besar. Dalam perumusan kebijakan penyaluran bantuan sosial, ASN tersebut mendapati adanya tekanan dari tokoh suku mayoritas agar kelompoknya diprioritaskan. Tindakan yang mencerminkan nasionalisme dan profesionalisme adalah...",Menuruti permintaan tokoh mayoritas demi menjaga stabilitas keamanan dan keselamatan diri sendiri,Membuat kebijakan pembagian yang merata berdasarkan data kemiskinan objektif tanpa memandang latar belakang suku,Menyerahkan wewenang pembagian bantuan sosial sepenuhnya kepada pemerintah pusat agar terhindar dari konflik,Membatalkan seluruh program bantuan sosial di daerah tersebut sampai kedua belah pihak berdamai,Meminta perlindungan aparat keamanan untuk menangkap tokoh suku yang melakukan intimidasi,0,5,0,0,0,"Nasionalisme birokrasi menuntut perlakuan yang berkeadilan dan tidak diskriminatif. Kebijakan publik harus berbasis data empiris (objektif), bukan tunduk pada tekanan kelompok primodial tertentu.",Nasionalisme
3,TWK,"Banyak talenta muda Indonesia (ilmuwan, teknokrat, pekerja medis) yang memilih berkarir dan bahkan berpindah kewarganegaraan di negara maju karena alasan fasilitas riset dan apresiasi finansial yang lebih baik. Kegagalan mempertahankan talenta (*brain drain*) ini menunjukkan melemahnya ikatan nasionalisme. Pendekatan struktural paling tepat oleh negara adalah...",Mencabut paspor setiap warga negara yang menolak kembali ke Indonesia setelah lulus studi di luar negeri,Mewajibkan pengabdian di dalam negeri tanpa memperhatikan kesejahteraan dan fasilitas kerja mereka,"Membangun ekosistem riset yang kondusif, sistem meritokrasi, serta apresiasi yang layak bagi para profesional di dalam negeri",Melarang pemberian beasiswa luar negeri kepada seluruh mahasiswa agar mereka tetap berada di Indonesia,Mengecam para talenta tersebut di media massa sebagai pengkhianat bangsa agar mereka merasa malu,0,0,5,0,0,"Nasionalisme harus dipupuk tidak hanya dengan doktrin, tetapi juga ekosistem yang menghargai kompetensi. Solusi struktural dari *brain drain* adalah perbaikan ekosistem (*meritokrasi*) dan apresiasi nyata dari negara.",Nasionalisme
4,TWK,"Dalam kerangka otonomi daerah, pemerintah daerah A mengeluarkan peraturan yang melarang penggunaan bahasa daerah B (dari provinsi tetangga) di ruang publik untuk mencegah disintegrasi sosial karena sejarah konflik. Kebijakan ini justru bertentangan dengan esensi nasionalisme karena...",Bahasa daerah B merupakan bahasa mayoritas di Nusantara sehingga tidak boleh dilarang,Kebijakan tersebut merusak kebhinekaan yang dijamin konstitusi serta memicu sentimen etnosentrisme baru,Nasionalisme mengharuskan peleburan seluruh bahasa daerah menjadi satu bahasa Indonesia tanpa pengecualian,Pemerintah pusat akan kehilangan pendapatan dari sektor pariwisata daerah B,Masyarakat daerah A belum tentu menguasai bahasa Indonesia dengan baik,0,5,0,0,0,Melarang atribut/identitas budaya kelompok lain di ruang publik adalah bentuk chauvinisme daerah (etnosentrisme) yang melanggar nilai Bhinneka Tunggal Ika dan mencederai persatuan nasional.,Nasionalisme
5,TWK,"Pemaknaan Sumpah Pemuda 1928 telah menggeser pola perjuangan dari yang bersifat kedaerahan menjadi nasional. Di masa kini, tantangan birokrasi yang paling merepresentasikan penyakit 'kedaerahan' masa lalu dan harus diberantas dengan semangat Sumpah Pemuda adalah...",Kurangnya anggaran pembangunan infrastruktur di daerah tertinggal,Praktik ego sektoral antar kementerian/lembaga yang saling tumpang tindih dan menolak berbagi data demi prestise instansi,Rendahnya penguasaan bahasa asing di kalangan aparatur sipil negara daerah,Lambatnya proses rekrutmen pegawai negeri sipil akibat transisi sistem digital,Kecenderungan masyarakat daerah untuk bekerja ke ibukota negara,0,5,0,0,0,"Sumpah Pemuda menyatukan berbagai faksi (Jong Java, Jong Sumatranen, dll). Ego sektoral (mementingkan instansinya sendiri/silo mentality) dalam birokrasi modern adalah bentuk 'kedaerahan' gaya baru yang merusak integrasi program nasional.",Nasionalisme
6,TWK,"Pemerintah sedang menggalakkan transisi energi terbarukan. Namun, proyek pembangkit listrik tenaga panas bumi di sebuah kawasan hutan lindung ditolak warga sekitar karena mengancam mata pencaharian dan ruang hidup mereka. Berdasarkan Sila Kelima Pancasila, solusi terbaik pemerintah adalah...",Melanjutkan proyek dengan pengawalan aparat keamanan karena ini adalah program strategis nasional,Membatalkan proyek tersebut secara permanen karena kelestarian lingkungan hutan lindung tidak tergantikan,"Menawarkan kompensasi yang adil, merelokasi warga dengan layak, serta melibatkan mereka secara ekonomi dalam operasional proyek",Mengabaikan protes warga karena jumlah mereka minoritas dibandingkan manfaat listrik bagi jutaan rakyat lainnya,Menangkap para provokator penolakan proyek dengan dalih menghambat kemajuan ekonomi nasional,0,0,5,0,0,"Keadilan Sosial (Sila ke-5) berarti pembangunan nasional tidak boleh meminggirkan masyarakat kecil. Harus ada pendekatan partisipatif, kompensasi adil, dan pemberdayaan ekonomi (*win-win solution*).",Pilar Negara
7,TWK,Pancasila sebagai ideologi terbuka mampu menyerap nilai-nilai modernisasi selama tidak bertentangan dengan nilai dasarnya. Masuknya ideologi hak asasi manusia universal dari PBB ke dalam amandemen UUD 1945 menunjukkan bahwa Pancasila...,Telah kehilangan kemurniannya karena dicampuradukkan dengan ideologi liberalisme Barat,Mampu beradaptasi secara dinamis dengan perkembangan peradaban global namun tetap berakar pada nilai ketuhanan dan kemanusiaan,Hanya relevan di dalam negeri sehingga perlu meminjam hukum internasional untuk pergaulan global,Terbukti tidak cukup kuat untuk melindungi hak warga negaranya di masa lalu,Telah digantikan sepenuhnya oleh deklarasi universal hak asasi manusia,0,5,0,0,0,"Ideologi terbuka (Pancasila sebagai *leitzstar* dinamis) berarti bangsa Indonesia menyerap nilai positif peradaban global (seperti HAM), namun disaring sesuai landasan Ketuhanan dan Kemanusiaan yang Beradab.",Pilar Negara
8,TWK,"Pasal 20A UUD 1945 memberikan hak interpelasi, hak angket, dan hak menyatakan pendapat kepada DPR. Secara esensial dalam pilar tata negara, instrumen ini merupakan perwujudan dari asas...",Separation of power secara absolut antara eksekutif dan legislatif,Dominasi kekuasaan legislatif atas eksekutif dalam sistem parlementer,Checks and balances untuk mencegah otoritarianisme dan menjamin akuntabilitas kinerja pemerintah,Supremasi hukum konstitusi di atas kebijakan politik menteri,Kewenangan mutlak DPR dalam merumuskan Anggaran Pendapatan dan Belanja Negara,0,0,5,0,0,Hak-hak istimewa DPR tersebut merupakan fungsi kontrol (*checks and balances*) dalam sistem presidensial pasca-reformasi untuk mengawasi dan meminta pertanggungjawaban kebijakan pemerintah (eksekutif).,Pilar Negara
9,TWK,"Terjadinya perdebatan antara pemerintah dan publik mengenai pengesahan sebuah rancangan undang-undang kontroversial seringkali diwarnai aksi demonstrasi. Berdasarkan pengamalan Sila Keempat Pancasila, indikator kegagalan proses demokrasi dalam kasus tersebut adalah...",Tidak dilakukannya voting (pemungutan suara) secara terbuka sejak awal pembahasan,Kurangnya partisipasi publik yang bermakna (meaningful participation) dan minimnya ruang dialektika yang setara sebelum undang-undang disahkan,Adanya perbedaan pendapat yang tajam di antara fraksi-fraksi di dalam dewan perwakilan rakyat,Masyarakat menggunakan hak unjuk rasa di jalanan untuk menyuarakan aspirasinya,Pemerintah tidak menuruti seluruh tuntutan dari para pengunjuk rasa secara instan,0,5,0,0,0,"Esensi Sila ke-4 adalah musyawarah dan hikmat kebijaksanaan. *Meaningful participation* (hak masyarakat didengar, dipertimbangkan, dan diberi penjelasan) adalah roh dari demokrasi Pancasila dalam pembentukan hukum.",Pilar Negara
10,TWK,"Kasus masuknya imigran ilegal dari negara berkonflik (seperti pengungsi Rohingya) ke wilayah perairan Indonesia menimbulkan dilema antara nilai kemanusiaan dan kedaulatan negara. Mengacu pada Pembukaan UUD 1945 dan Sila Kedua Pancasila, langkah proporsional pemerintah adalah...",Menembak karam kapal pengungsi tersebut karena dianggap melanggar batas kedaulatan wilayah NKRI,Memberikan status warga negara Indonesia secara langsung kepada seluruh pengungsi sebagai wujud keadilan,"Memberikan pertolongan darurat kemanusiaan, menampung sementara, lalu berdiplomasi dengan UNHCR untuk penempatan ke negara ketiga",Menutup seluruh pelabuhan dan membiarkan para pengungsi kelaparan di tengah lautan bebas,Mengalihkan seluruh dana desa masyarakat lokal untuk membangun pemukiman permanen bagi para pengungsi tersebut,0,0,5,0,0,"Sila ke-2 mengajarkan kemanusiaan universal. Negara tidak boleh mengusir orang yang terancam nyawanya secara barbar, namun kedaulatan nasional tetap dijaga dengan solusi transit darurat dan diplomasi internasional (UNHCR).",Pilar Negara
